service,flag,logged_in,serror_rate,srv_serror_rate,same_srv_rate,dst_host_count,dst_host_srv_count,dst_host_serror_rate,dst_host_srv_serror_rate,class
other,SF,0,0,0,0.08,255,1,0,0,normal
private,S0,0,1,1,0.05,255,26,1,1,neptune
http,SF,1,0.2,0.2,1,30,255,0.03,0.01,normal
http,SF,1,0,0,1,255,255,0,0,normal
private,REJ,0,0,0,0.16,255,19,0,0,neptune
private,S0,0,1,1,0.05,255,9,1,1,neptune
private,S0,0,1,1,0.14,255,15,1,1,neptune
remote_job,S0,0,1,1,0.09,255,23,1,1,neptune
private,S0,0,1,1,0.06,255,13,1,1,neptune
private,REJ,0,0,0,0.06,255,12,0,0,neptune
private,S0,0,1,1,0.02,255,13,1,1,neptune
http,SF,1,0,0,1,8,219,0,0,normal
ftp_data,SF,1,0,0,1,2,20,0,0,warezclient
name,S0,0,1,1,0,255,1,1,1,neptune
netbios_ns,S0,0,1,1,0.17,255,2,1,1,neptune
http,SF,1,0,0.11,1,91,255,0,0,normal
eco_i,SF,0,0,0,1,1,16,0,0,ipsweep
http,SF,1,0,0,1,66,255,0,0,normal
http,SF,1,0,0,1,157,255,0,0,normal
mtp,S0,0,1,1,0.1,255,23,1,1,neptune
private,S0,0,1,1,0.06,238,17,0.99,1,neptune
http,SF,1,0,0,1,87,255,0,0,normal
other,SF,0,0,0,1,255,1,0,0,normal
mtp,S0,0,1,1,0.01,255,2,1,1,neptune
telnet,SF,1,0,0,1,255,25,0.53,0,normal
private,S0,0,1,1,0.03,255,13,1,1,neptune
http,SF,1,0,0,1,43,255,0,0,normal
http,SF,1,0,0,1,255,255,0,0,normal
http,SF,1,0,0,1,255,255,0,0,normal
eco_i,SF,0,0,0,1,1,53,0,0,ipsweep
finger,S0,0,1,1,0.28,255,59,1,1,neptune
http,SF,1,0,0,1,9,255,0,0,normal
private,REJ,0,0,0,0.5,255,1,0,0,portsweep
domain_u,SF,0,0,0,1,255,250,0,0,normal
private,SF,0,0,0,1,41,5,0,0,normal
domain_u,SF,0,0,0,1,255,255,0,0,normal
supdup,S0,0,1,1,0.08,255,17,1,1,neptune
http,SF,1,0,0,1,255,255,0,0,normal
uucp_path,S0,0,1,1,0.06,255,13,1,1,neptune
ftp_data,S0,0,1,1,0.22,255,63,1,1,neptune
Z39_50,S0,0,1,1,0.05,255,9,1,1,neptune
smtp,SF,1,0,0,1,181,147,0,0,normal
other,SF,0,0,0,0.5,255,2,0,0,normal
http,SF,1,0,0,1,255,255,0,0,normal
csnet_ns,S0,0,1,1,0.1,255,11,1,1,neptune
private,SF,0,0,0,1,255,80,0,0,teardrop
http,SF,1,0.02,0.02,1,255,255,0,0,normal
ftp_data,SF,1,0,0,1,4,38,0,0,warezclient
ftp_data,S0,0,1,1,0.07,255,5,1,1,neptune
http,SF,1,0,0,1,131,255,0,0,normal
private,REJ,0,0,0,0.07,255,4,0,0,neptune
private,SF,0,0,0,1,255,2,0,0,teardrop
http,SF,1,0,0,1,26,255,0,0,normal
domain_u,SF,0,0,0,1,255,245,0,0,normal
domain_u,SF,0,0,0,1,122,212,0,0,normal
eco_i,SF,0,0,0,1,2,46,0,0,nmap
uucp,S0,0,1,1,0.07,255,11,1,1,neptune
finger,S0,0,1,1,0.5,255,59,1,1,neptune
domain_u,SF,0,0,0,1,255,255,0,0,normal
ftp_data,SF,1,0,0,1,175,48,0,0,normal
private,REJ,0,0,0,0.02,255,4,0,0,neptune
private,REJ,0,0.1,0,0.01,255,1,0.07,0,satan
http,SF,1,0,0,1,255,255,0,0,normal
private,REJ,0,0,0,0.16,255,10,0,0,neptune
smtp,SF,1,0,0,1,109,133,0,0,normal
netbios_dgm,RSTR,0,0,0,1,236,1,0,0,portsweep
http,S0,0,1,1,0.37,255,67,1,1,neptune
netbios_dgm,REJ,0,0,0,0.06,255,6,0,0,neptune
supdup,S0,0,1,1,0.12,255,21,1,1,neptune
http,SF,1,0,0,1,21,58,0,0,normal
private,S0,0,1,1,0.11,255,31,1,1,neptune
urp_i,SF,0,0,0,0.67,255,93,0,0,normal
domain_u,SF,0,0,0,1,84,83,0,0,normal
private,S0,0,1,1,0.04,255,6,1,1,neptune
ftp_data,SF,1,0,0,1,44,47,0,0,normal
auth,S0,0,1,1,0.03,255,9,1,1,neptune
http,SF,1,0,0,1,48,255,0,0,normal
http,SF,1,0,0,1,168,255,0,0,normal
private,REJ,0,0,0,0.03,255,8,0,0,neptune
http,SF,1,0,0,1,24,255,0,0,normal
uucp_path,REJ,0,0,0,0.05,255,7,0,0,neptune
domain,S0,0,1,1,0.09,255,2,1,1,neptune
eco_i,SF,0,0,0,1,1,95,0,0,ipsweep
http,SF,1,0,0,1,123,255,0,0,normal
private,S0,0,1,1,0.03,72,7,0.97,1,neptune
http,SF,1,0,0,1,255,255,0,0,normal
ftp,S0,0,1,1,0.05,255,1,1,1,neptune
private,REJ,0,0,0,0.11,255,15,0,0,neptune
other,SF,0,0,0,0.67,117,2,0,0,normal
http,SF,1,0,0,1,156,255,0,0,normal
http,SF,1,0,0,1,255,255,0,0,normal
domain_u,SF,0,0,0,0.99,255,254,0,0,normal
private,REJ,0,0,0,0.12,255,10,0,0,neptune
csnet_ns,S0,0,1,1,0.02,255,3,1,1,neptune
smtp,SF,1,0,0,1,243,119,0.01,0.02,normal
other,SF,0,0,0,1,7,1,0,0,normal
http,SF,1,0,0,1,4,255,0,0,normal
other,SF,0,0,0,1,255,2,0,0,normal
private,S0,0,1,1,0.12,255,12,1,1,neptune
http,SF,0,0.03,0.03,1,255,255,0,0,normal
http,SF,1,0,0,1,66,255,0,0,normal
http,REJ,0,0,0,1,1,247,0,0,normal
http,SF,1,0,0,1,153,255,0,0,normal
private,SF,0,0,0,1,255,182,0.09,0,teardrop
http,SF,1,0,0,1,43,255,0,0,normal
http,SF,1,0,0,1,242,255,0,0,normal
http,SF,1,0,0,1,10,255,0,0,normal
http,SF,1,0,0,1,21,255,0,0,normal
http,REJ,0,0,0,1,23,249,0,0,normal
http,SF,1,0,0,1,255,252,0,0,normal
smtp,SF,1,0,0,0.5,255,152,0.01,0.02,normal
http,REJ,0,0,0,1,6,255,0,0,normal
http,SF,1,0,0,1,3,255,0,0,normal
http,SF,1,0,0,1,107,255,0,0,normal
private,RSTR,0,0,0,1,255,2,0,0,portsweep
Z39_50,REJ,0,0,0,0.15,255,17,0,0,neptune
private,SF,0,0,0,0.25,255,239,0,0,normal
http,SF,1,0,0,1,6,255,0,0.01,normal
http,SF,1,0,0,1,107,255,0,0,normal
uucp_path,REJ,0,0,0,0.08,255,20,0,0,neptune
bgp,REJ,0,0,0,0.07,255,19,0,0,neptune
csnet_ns,S0,0,1,1,0.03,255,8,1,1,neptune
http,SF,1,0,0,1,255,250,0,0,normal
bgp,S0,0,1,1,0.02,255,8,1,1,neptune
finger,SF,0,0,0,1,195,10,0.01,0,normal
domain_u,SF,0,0,0,1,255,254,0,0,normal
smtp,SF,1,0,0,1,138,167,0,0,normal
domain_u,SF,0,0,0,1,255,254,0,0,normal
ftp,SF,1,0,0,1,176,49,0.01,0.02,normal
private,S0,0,1,1,0.11,255,20,1,1,neptune
ldap,REJ,0,0,0,0.04,255,1,0,0,neptune
http,SF,1,0,0,1,2,2,0,0,normal
http,SF,1,0,0,1,5,255,0,0,normal
private,S0,0,1,1,0.06,255,7,1,1,neptune
supdup,S0,0,1,1,0.08,255,7,1,1,neptune
other,SF,0,0,0,0.33,255,1,0,0,normal
http,SF,1,0,0,1,94,255,0,0,normal
ecr_i,SF,0,0,0,1,255,255,0,0,smurf
private,S0,0,1,1,0.12,255,7,1,1,neptune
http,SF,1,0,0,1,255,255,0,0,normal
bgp,REJ,0,0,0,0.06,255,8,0,0,neptune
netbios_dgm,REJ,0,0,0,0.01,255,2,0,0,neptune
http,SF,1,0,0,1,108,255,0,0,normal
http,SF,1,0,0,1,50,82,0,0,normal
http,SF,1,0,0,1,11,255,0,0,normal
gopher,SH,0,1,1,1,255,1,1,1,nmap
http,SF,1,0,0,1,31,129,0,0,normal
ftp_data,SF,1,0,0,1,6,26,0,0,warezclient
telnet,S0,0,1,1,0.31,255,64,1,1,neptune
private,S0,0,1,1,0.01,255,1,1,1,neptune
http,SF,1,0,0,1,27,255,0,0.01,normal
vmnet,S0,0,1,1,0.04,255,14,1,1,neptune
systat,S0,0,1,1,0.06,255,1,1,1,neptune
http_443,S0,0,1,1,0.1,255,15,1,1,neptune
domain_u,SF,0,0,0,1,255,254,0,0,normal
ftp_data,SF,1,0,0,1,6,92,0,0,normal
efs,S0,0,1,1,0.19,255,18,1,1,neptune
eco_i,SF,0,0,0,1,1,15,0,0,ipsweep
whois,S0,0,1,1,0.01,255,3,1,1,neptune
http,SF,1,0,0,1,83,255,0,0,normal
ftp_data,SF,1,0,0,1,185,119,0,0,normal
domain_u,SF,0,0,0,1,255,253,0,0,normal
ftp_data,SF,1,0,0,1,255,6,0,0,normal
remote_job,S0,0,1,1,0.02,255,4,1,1,neptune
other,RSTR,0,0,0,1,255,2,0,0,portsweep
finger,SF,0,0,0,1,196,6,0,0,normal
http,SF,1,0,0,1,94,255,0,0,normal
ftp_data,SF,0,0,0,0.67,99,68,0,0,normal
http,SF,1,0,0,1,69,255,0,0,normal
gopher,S0,0,1,1,0.27,255,12,1,1,neptune
http,SF,1,0,0,1,18,19,0,0,normal
ecr_i,SF,0,0,0,1,255,212,0,0,smurf
